"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41125267,"El Pilon Bakery","QUEENS","Latin","violations",10,"A",5,4,"4619 Queens Blvd",40.7433929,-73.9180512,"*****"
41471991,"El Pilón Restaurant","BROOKLYN","Spanish","violations",10,"A",2.5,2,"354 Cornelia St",40.696018,-73.909607,"***"
50007971,"El Pitallito Mexican Restaurant","MANHATTAN","Spanish","violations",27,"B",3.5,21,"3854 Broadway",40.8362922817469,-73.9430563151836,"****"
50063879,"Cafe Habana","BROOKLYN","Latin","violations",11,"A",4,2989,"17 Prince St",40.722998,-73.994171,"****"
50003712,"Love & Delicious Deli","BROOKLYN","Mexican","violations",8,"A",2,4,"365 Avenue X",40.590872,-73.969558,"**"
50000334,"El Pollo III","BROOKLYN","Spanish","violations",10,"A",3.5,52,"8603 18th Ave",40.6069885850069,-74.0027868923801,"****"
50065169,"El Pollo Inka Peru","QUEENS","Other","violations",34,"C",3.5,63,"89-20 101st Ave",40.6828101177295,-73.8502961397171,"****"
41256254,"El Pollo Inka Peru","QUEENS","Latin","violations",9,"A",4,104,"89-12 Northern Blvd",40.75601,-73.87827,"****"
41390135,"Pio Pio 2","QUEENS","Peruvian","violations",22,"B",3.5,1047,"84-02 Northern Blvd",40.7555,-73.88315,"****"
40755766,"El Pollo Peruano","QUEENS","Latin","violations",13,"A",4,27,"41-19 National St",40.74818,-73.86297,"****"
41172425,"El Pollo Restaurant & Bar","STATEN ISLAND","Latin","violations",19,"B",3,43,"560 Richmond Rd",40.6129693080948,-74.0872420947426,"***"
50058972,"El Polvorin Restaurant","BRONX","Spanish","violations",45,"C",2,8,"807 Hunts Point Ave",40.8168797940016,-73.8882158696651,"**"
41427945,"El Porron","MANHATTAN","Latin","violations",31,"C",4,279,"1123 1st Ave",40.7612513,-73.9609554,"****"
41640858,"El Porton Mexican Restaurant Bar","BRONX","Mexican","violations",27,"B",3.5,143,"3151 Broadway",40.81452,-73.95966,"****"
41255436,"El Porton Mexican Restaurant Bar","MANHATTAN","Mexican","violations",7,"A",3.5,143,"3151 Broadway",40.81452,-73.95966,"****"
