"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
50050805,"No.1 Chinese Restaurant","MANHATTAN","Chinese","violations",13,"A",3,36,"705 Fulton St",40.68766,-73.977188,"***"
41568346,"#1 Garden Chinese","BROOKLYN","Chinese","violations",11,"A",3.5,51,"221 Prospect Park W",40.660045,-73.980316,"****"
50051964,"#1 Natural Juice Bar","QUEENS","Juice, Smoothies, Fruit Salads","violations",11,"A",5,1,"685 Seneca Ave",40.7031326293945,-73.9077835083008,"*****"
41336841,"El Sabor Latino","BRONX","Latin","closed",45,"C",2,35,"2968 Jerome Ave",40.87294,-73.88936,"**"
50061194,"Roll & Go $1 Pizza","BROOKLYN","Pizza","violations",28,"C",3.5,3,"1278 Fulton St",40.6803560256958,-73.9497350156307,"****"
41652560,"Lombardi's Pizza","MANHATTAN","Pizza","violations",42,"C",4,5388,"32 Spring St",40.721515,-73.995735,"****"
50065316,"NY Pizza Suprema","MANHATTAN","Pizza","violations",28,"C",4,1474,"413 8th Ave",40.7502059936523,-73.9953231811523,"****"
50018480,"W Cafe","MANHATTAN","American","violations",40,"C",2.5,95,"390 5th Ave",40.7498099,-73.98408,"***"
50064708,"Cesca","MANHATTAN","Italian","violations",41,"C",3.5,243,"164 W 75th St",40.7802345045165,-73.9796698035772,"****"
40804423,"Locanda Vini e Olii","BROOKLYN","Italian","violations",9,"A",4,266,"129 Gates Ave",40.685007,-73.962943,"****"
50007884,"Brooklyn Public Library - Central Library","BROOKLYN","Caf̩/Coffee/Tea","violations",20,"B",4,130,"10 Grand Army Plz",40.67245,-73.96829,"****"
50059670,"Strand Bookstore","MANHATTAN","Caf̩/Coffee/Tea","violations",42,"C",4.5,1348,"828 Broadway",40.7332613664396,-73.990933947418,"*****"
50002692,"TAO Downtown","MANHATTAN","Asian","violations",28,"C",3.5,918,"92 9th Ave",40.7426141,-74.0042051,"****"
41322152,"123 Burger Shot Beer","MANHATTAN","American","violations",9,"A",3,778,"738 10th Ave",40.764828,-73.9914,"***"
41316782,"1 Banana Queen","BRONX","Juice, Smoothies, Fruit Salads","violations",12,"A",4.5,16,"6 E Mount Eden Ave",40.8441642,-73.9146575,"*****"
41046505,"Darbar Fine Indian Cuisine","MANHATTAN","Indian","violations",11,"A",4,420,"152 E 46th St",40.75348,-73.97355,"****"
40359480,"The Halal Guys","MANHATTAN","American","no violations",0,"B",4.5,8751,"W 53rd St 6th Ave",40.7617559582706,-73.979229927063,"*****"
50058063,"1 Hotel Brooklyn Bridge","BROOKLYN","American","violations",5,"A",4,91,"60 Furman St",40.70224,-73.99554,"****"
41299757,"1 OAK","MANHATTAN","American","violations",25,"B",2,334,"453 W 17th St",40.74389,-74.00614,"**"
41454445,"1 or 8","BROOKLYN","Japanese","violations",17,"B",4,372,"66 S 2nd St",40.714257,-73.965457,"****"
50065769,"1 Pike","MANHATTAN","Caf̩/Coffee/Tea","violations",30,"C",4.5,32,"1 Pike St",40.71423,-73.9924,"*****"
41430594,"One Stop Patty Shop","MANHATTAN","Bakery","violations",2,"A",4,26,"1708 Amsterdam Ave",40.8249799,-73.94802,"****"
